tf,rapida,lenta,modo,toques,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,acerto_neutro,"sh_tr|0,60 pts (pedido)","sh_ho|0,60 pts (pedido)","ret_ho|0,60 pts (pedido)","usd_ho|0,60 pts (pedido)","sh_tr|15,82 pts medidos (0,0145%)","sh_ho|15,82 pts medidos (0,0145%)","ret_ho|15,82 pts medidos (0,0145%)","usd_ho|15,82 pts medidos (0,0145%)",sh_tr|30 pts (folga slippage),sh_ho|30 pts (folga slippage),ret_ho|30 pts (folga slippage),usd_ho|30 pts (folga slippage)
5,10,30,0,2,0.75,0.008,446.25228145371346,334.68921109028514,3889,1487,0.5810356422326832,0.5714285714285714,-0.015134722729993695,0.017643037372113646,0.1812776999438001,131.21455940000004,-0.03457032609632376,-0.0015725030489290885,-0.016157215070838934,15.9180613543828,-0.05333918790004039,-0.020429150359976545,-0.20990622326960745,-95.4231714071128
5,10,30,0,2,1.0,0.008,446.25228145371346,446.25228145371346,3599,1355,0.48929889298892987,0.5,-0.03994442797387018,-0.022961512174830882,-0.24893995427044951,-81.9761176,-0.05682692709628381,-0.03956725145461848,-0.4289690829999909,-187.62808586252572,-0.07312372715867302,-0.055851874319417655,-0.6055191207332336,-289.6147046970784
5,10,30,0,2,1.3333333333333333,0.008,446.25228145371346,595.0030419382846,3339,1218,0.4244663382594417,0.4285714285714286,-0.029701903927671837,-0.009660858345820249,-0.10860828402519003,-45.211673600000125,-0.04437403081692223,-0.02405122160967824,-0.2703874610779749,-139.83680308129908,-0.05854082867069052,-0.03816770105004943,-0.42908705219169474,-231.20290776175614
5,10,30,0,2,2.0,0.008,446.25228145371346,892.5045629074269,2968,1035,0.3352657004830918,0.3333333333333333,-0.0162591875689237,0.002982062804771336,0.03498638007123936,61.810859199999996,-0.028247383384772264,-0.008732569067920193,-0.10245239919187563,-18.281086225227114,-0.03982596397400775,-0.02022703415650628,-0.23730796306929636,-95.63643300965919
5,10,30,0,2,0.2,0.015,836.7230277257128,167.34460554514257,3941,1557,0.8368657675016057,0.8333333333333334,0.007943481364649027,0.00767812726999846,0.0795356543808366,121.48595640000015,-0.012354592754930043,-0.012292465614064343,-0.12733273965386466,-0.4818619510632942,-0.031941980954790804,-0.0318771262670973,-0.3302024140085933,-118.17928446800886
5,10,30,0,2,0.25,0.015,836.7230277257128,209.1807569314282,3702,1410,0.8042553191489362,0.8,-0.008493981137263828,0.009036202022821453,0.09482101373413407,118.55573249999995,-0.026395997932328455,-0.008811643643340117,-0.0924641380295119,8.376949416841683,-0.043674274604071424,-0.026319429743391288,-0.2761804134567224,-97.96299648196899
5,10,30,0,2,0.3333333333333333,0.015,836.7230277257128,278.90767590857087,3344,1286,0.76049766718507,0.75,-0.002569084862202917,0.023130842631436128,0.25400267841746926,225.27729799999958,-0.01814931663074024,0.0075640406822805465,0.0830610769461332,124.18398307883447,-0.03318029687109761,-0.00769494924470591,-0.08449858986194718,26.654521284768165
5,10,30,0,2,0.5,0.015,836.7230277257128,418.3615138628564,2865,1058,0.6465028355387523,0.6666666666666666,-0.0098254099277842,-0.04331127370049649,-0.4931143545976184,-320.68347675000007,-0.022516542177674022,-0.055666976921726494,-0.6337957858405832,-403.8003362287068,-0.03476082860219556,-0.06777469993047061,-0.7716481400263921,-483.9907096426175
5,10,30,0,2,0.75,0.015,836.7230277257128,627.5422707942846,2452,871,0.5499425947187141,0.5714285714285714,-0.011604877184437418,-0.04411146757465642,-0.5020403624438312,-312.53770125000005,-0.021983834032839704,-0.05428781440607653,-0.6178625987402158,-381.0110210811454,-0.03199686486104053,-0.06425923707110533,-0.7313497447665287,-447.07020914724205
5,10,30,0,2,1.0,0.015,836.7230277257128,836.7230277257128,2195,766,0.5013054830287206,0.5,0.012520871948332445,0.0017827573454814152,0.020497165101743486,-16.899640499999975,0.0035203744565451764,-0.007075410927446857,-0.08134931186567737,-76.92766400932088,-0.005164753410867422,-0.015756117444142813,-0.18115545865804977,-134.85235764789098
5,10,30,0,2,1.3333333333333333,0.015,836.7230277257128,1115.6307036342835,1916,661,0.41603630862329805,0.4285714285714286,0.017133459936827435,-0.02613487366985444,-0.2982456104076034,-264.78213450000027,0.009360935632223061,-0.033831969167126504,-0.38608602499114075,-316.3489395208693,0.0018583454062877248,-0.041378948721172454,-0.4722111725495705,-366.12486715651505
5,10,30,0,2,2.0,0.015,836.7230277257128,1673.4460554514255,1571,527,0.3187855787476281,0.3333333333333333,-0.017694197277969382,-0.03177952971512423,-0.3515372339836547,-294.92805,-0.02409843691151602,-0.038113704896339994,-0.42160716364649115,-336.34299033193315,-0.030277043479696605,-0.04432114189234417,-0.49027275027779604,-376.29880663451274
