rapida,lenta,modo,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,"sh_tr|0,0092% (Pepperstone min)","sh_ho|0,0092% (Pepperstone min)","ret_ho|0,0092% (Pepperstone min)","sh_tr|0,0145% (Pepperstone medio, medido)","sh_ho|0,0145% (Pepperstone medio, medido)","ret_ho|0,0145% (Pepperstone medio, medido)","sh_tr|0,030% (folga p/ slippage)","sh_ho|0,030% (folga p/ slippage)","ret_ho|0,030% (folga p/ slippage)","sh_tr|0,050%","sh_ho|0,050%","ret_ho|0,050%","sh_tr|0,063% (leitura '$69' AskTraders)","sh_ho|0,063% (leitura '$69' AskTraders)","ret_ho|0,063% (leitura '$69' AskTraders)","sh_tr|0,260% (CostModel.ts atual)","sh_ho|0,260% (CostModel.ts atual)","ret_ho|0,260% (CostModel.ts atual)"
10,50,0,1.3333333333333333,0.04,2231.2633457536103,2975.0177943381473,670,169,0.4378698224852071,-0.08197257882444328,0.016708014130929177,0.13113782745291047,-0.0831466841264868,0.015556527692768862,0.12210004303050548,-0.0865416905036049,0.012226925319016617,0.09596666666666587,-0.09093267366433302,0.007920533421315021,0.06216666666666604,-0.093875020889834,0.005034869826553926,0.03951767609175316,-0.13703799685197854,-0.03729658150455188,-0.2927333333333335
10,50,0,2.0,0.04,2231.2633457536103,4462.526691507221,475,113,0.336283185840708,-0.09587300649950374,0.004602612546234617,0.02961681164997451,-0.0968535695163825,0.0036634952692937866,0.023573796030259185,-0.09968893504081629,0.0009479729575163363,0.006099999999999883,-0.10335609818849391,-0.002564189147380309,-0.016500000000000035,-0.10581342196270752,-0.004917648508663507,-0.031643999615178754,-0.1418613112391093,-0.0394418912487952,-0.2537999999999999
10,50,0,3.0,0.04,2231.2633457536103,6693.790037260831,333,79,0.22784810126582278,-0.017061391576318974,-0.053837676996578154,-0.28725904318276146,-0.0178392555707281,-0.05462947603060448,-0.29148380631512866,-0.02008850290565871,-0.05691901749271713,-0.3037000000000001,-0.022997601173797177,-0.05988023078341499,-0.31950000000000023,-0.024946954406239858,-0.061864505692034014,-0.3300873979610543,-0.05354313298925074,-0.09097297033574214,-0.4853999999999999
10,50,1,0.75,0.001,55.781583643840264,41.8361877328802,31492,11989,0.5650179331053465,-0.12259522599872158,-0.11883866980076695,-1.2361287179509794,-0.18420499314027733,-0.1804772064035478,-1.8772766317984493,-0.36235387976421396,-0.35870928190684237,-3.7312,-0.592765453227069,-0.5892284489727265,-6.129,-0.7471615939285833,-0.7436966869079962,-7.73573815386176,-3.0120869745870467,-3.0096797031645095,-31.305899999999998
10,50,1,1.0,0.001,55.781583643840264,55.781583643840264,30608,11635,0.5110442629995703,-0.08319786691416926,-0.06981212986552093,-0.8121008535624022,-0.13667702720259414,-0.12330089625344658,-1.4343175503357206,-0.29131570390909634,-0.27796734965851877,-3.233499999999999,-0.49131998961295936,-0.47800756077816425,-5.560499999999999,-0.6253405571232875,-0.6120522014956953,-7.11979588958058,-2.5913649895035213,-2.57842977753444,-29.993999999999996
10,50,1,1.3333333333333333,0.001,55.781583643840264,74.37544485845368,29616,11174,0.4511365670306068,-0.05343637376563394,-0.03378992355316209,-0.43840778722586615,-0.0995918027440138,-0.07984663125858624,-1.0359711193913204,-0.2330534057599168,-0.21302277491180815,-2.763866666666666,-0.4056680009478349,-0.38526816688907745,-4.998666666666666,-0.5213350524124405,-0.5006878195359844,-6.496180398525146,-2.218121250420975,-2.1938447826504053,-28.46406666666666
10,50,1,2.0,0.001,55.781583643840264,111.56316728768053,28186,10531,0.35742094767828314,-0.024183606728480245,-0.013648580879946741,-0.20665802224887436,-0.06149765915036529,-0.050843199926309174,-0.76983499119772,-0.16939381267928041,-0.1583940036209001,-2.398299999999999,-0.308942944735696,-0.2974964722137951,-4.5045,-0.40245321031803644,-0.3907074337554421,-5.91584035351724,-1.7742088313280586,-1.7580723924391917,-26.6196
10,50,1,3.0,0.001,55.781583643840264,167.3447509315208,26592,9843,0.2747129940058925,-0.00829607543714459,0.0039009156226154484,0.0685599740769471,-0.0384347192072809,-0.02604921151304319,-0.45782412101027137,-0.12558268423154242,-0.1126520676998517,-1.9798999999999989,-0.23829683095373688,-0.2246611896120332,-3.948499999999999,-0.3138252820416184,-0.29971721169763477,-5.267636178869071,-1.4217953715367788,-1.400756969689939,-24.618799999999993
10,50,1,0.75,0.002,111.56316728768053,83.6723754657604,25359,9376,0.5844709897610921,-0.05019081876315261,-0.02680570095568149,-0.4335289731844504,-0.08107872680292724,-0.057808571949097456,-0.9349388355778026,-0.1703932410874136,-0.14745550953502476,-2.3848,-0.2859095272643831,-0.2634017404475032,-4.260000000000001,-0.3633156597161935,-0.34109597391299024,-5.516549914972714,-1.4988305321225635,-1.4808371650285261,-23.9496
10,50,1,1.0,0.002,111.56316728768053,111.56316728768053,23918,8769,0.5169346561751625,-0.034154687864021045,-0.012080241259172595,-0.21175379328652327,-0.06089499471269637,-0.03883307264500955,-0.6807025009792818,-0.13821643438197184,-0.11619072787643274,-2.0366999999999993,-0.23822129500296002,-0.2162424284458283,-3.7905000000000006,-0.3052333999038562,-0.2832859202564881,-4.965701173677018,-1.2882723315233349,-1.2667852844244814,-22.2054
10,50,1,1.3333333333333333,0.002,111.56316728768053,148.75088971690735,22412,8150,0.4471165644171779,-0.01819939136216352,-0.002302483668506455,-0.043542640584463804,-0.04128921036223858,-0.025349498313119903,-0.479388457404625,-0.10805501289741892,-0.09199152910524822,-1.7396666666666671,-0.19440757960256622,-0.17818401374304543,-3.3696666666666673,-0.2522714396447101,-0.23594060463623598,-4.461910886699476,-1.1011095300066123,-1.083205102439916,-20.48466666666667
10,50,1,2.0,0.002,111.56316728768053,223.12633457536106,20363,7220,0.35761772853185597,-0.007179983475148262,0.018713457843398333,0.3885785850691419,-0.025926195212488994,0.00011882311618797382,0.0024673215793797054,-0.08013215807144013,-0.053648844374263066,-1.1139999999999994,-0.1502402650042953,-0.12319007532258977,-2.5580000000000007,-0.19721889971279405,-0.16978885296509064,-3.52560776302293,-0.8863753877992738,-0.8533730002800196,-17.72
10,50,1,3.0,0.002,111.56316728768053,334.6895018630416,18320,6310,0.2705229793977813,0.0009409917433320955,0.020341794468554025,0.4561954116047492,-0.01426267406094965,0.0052950348936448245,0.11874914115871105,-0.05822512127182871,-0.038213707144110404,-0.8569999999999994,-0.11508462136244195,-0.0944864007448892,-2.119000000000001,-0.15318551726914567,-0.13219408438361788,-2.9646516599272426,-0.7121093723138798,-0.6853496835530657,-15.37
10,50,1,0.75,0.004,223.12633457536106,167.3447509315208,17473,6239,0.5875941657316878,-0.03119573743522843,0.006172844170794353,0.13271936180697674,-0.04662279414103512,-0.009345353796373681,-0.2009299696213639,-0.09123119153538346,-0.054217292427612564,-1.1656999999999993,-0.1489261411254143,-0.11225309708676591,-2.413500000000001,-0.18758686211608624,-0.15114222113211143,-3.2496364035318632,-0.7547231118207375,-0.7216290460078754,-15.515399999999998
10,50,1,1.0,0.004,223.12633457536106,223.12633457536106,15835,5545,0.5127141568981064,-0.025054910047348024,0.002457231174697024,0.05448867786819711,-0.038424020504893186,-0.010915390870596613,-0.24204691161251154,-0.07708172452918971,-0.04958324889281753,-1.099499999999999,-0.12708025429548664,-0.09959491148684647,-2.2085000000000017,-0.16058369303620795,-0.1331071503841218,-2.9516281227094376,-0.652064816841603,-0.6247173687241492,-13.853000000000002
10,50,1,1.3333333333333333,0.004,223.12633457536106,297.5017794338147,14256,4914,0.4444444444444444,-0.01332044951498207,0.012129923034945199,0.27646913670772233,-0.024887673249602445,0.0006001219635184574,0.013678174271617771,-0.05833509766394766,-0.03273909224176807,-0.7462,-0.10159483301024604,-0.0758588722675114,-1.729000000000001,-0.13058268325082467,-0.1047529400602747,-2.387562956716714,-0.5558220541463781,-0.5286165625378162,-12.0484
10,50,1,2.0,0.004,223.12633457536106,446.2526691507221,12056,4009,0.3419805437765029,-0.010004128069730023,0.0020866874354606045,0.047626530130495115,-0.01943687338403707,-0.007306647082381369,-0.16676682933355422,-0.046712306379749755,-0.034468121044697854,-0.786699999999999,-0.08198940270362004,-0.06959782671857466,-1.588500000000002,-0.10562817850686398,-0.0931378377454123,-2.1257769420995736,-0.45239891410425676,-0.43845973629427953,-10.007399999999999
10,50,1,3.0,0.004,223.12633457536106,669.3790037260832,10082,3244,0.249691738594328,-0.005793207895829232,-0.013978186683113795,-0.31408020360605454,-0.013478960282473947,-0.021699059372636633,-0.4875628821047774,-0.03570284285943781,-0.04402449472517342,-0.9891999999999986,-0.06444643957818363,-0.07289943627156718,-1.638000000000002,-0.08370719257143758,-0.09224820192054482,-2.0727534048817713,-0.36625420512501355,-0.3760863225087001,-8.450400000000002
