rapida,lenta,modo,stop_pct,razao,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,100,0,0.04,2.0,0.08,2791.288816223143,5582.577632446286,29,-0.17398350100135823,-0.27539999999999987,0.27586206896551724,3,-0.03752776749732568,-0.007800000000000001,0.3333333333333333
10,100,0,0.04,3.0,0.12,2791.288816223143,8373.866448669429,22,-0.5959011808425498,-0.6171999999999999,0.09090909090909091,1,0.0,-0.0426,0.0
10,100,1,0.002,0.75,0.0015,139.56444081115714,104.67333060836786,1302,-1.5066499318564228,-3.4027000000000003,0.0,445,-1.41101276960866,-1.0599999999999998,0.0
10,100,1,0.002,1.0,0.002,139.56444081115714,139.56444081115714,1252,-1.2883836369010733,-3.2272,0.0,419,-1.1535778388639926,-0.9553999999999999,0.0
10,100,1,0.002,1.3333333333333333,0.0026666666666666666,139.56444081115714,186.08592108154284,1195,-1.1004411725393173,-3.0469999999999997,0.4393305439330544,393,-0.9829778778713706,-0.9024666666666668,0.49363867684478374
10,100,1,0.002,2.0,0.004,139.56444081115714,279.1288816223143,1100,-0.8587160896300589,-2.714,0.35545454545454547,352,-0.6813273271233568,-0.7132000000000001,0.4289772727272727
10,100,1,0.002,3.0,0.006,139.56444081115714,418.69332243347145,1019,-0.6663385267368152,-2.4313999999999996,0.27674190382728164,316,-0.5385959512874412,-0.6376,0.3227848101265823
10,100,1,0.004,0.75,0.003,279.1288816223143,209.34666121673573,924,-0.756007021181926,-2.4234,0.5681818181818182,310,-0.715705546029512,-0.7649999999999999,0.5903225806451613
10,100,1,0.004,1.0,0.004,279.1288816223143,279.1288816223143,845,-0.6343148326759062,-2.1450000000000005,0.5076923076923077,283,-0.5763658805531281,-0.6517999999999999,0.5371024734982333
10,100,1,0.004,1.3333333333333333,0.005333333333333333,279.1288816223143,372.17184216308567,767,-0.5674387371374346,-2.0102,0.42633637548891784,253,-0.5062918636098532,-0.5964666666666667,0.45454545454545453
10,100,1,0.004,2.0,0.008,279.1288816223143,558.2577632446286,684,-0.45928330578278165,-1.7783999999999998,0.3333333333333333,215,-0.3672038436491339,-0.4589999999999999,0.37209302325581395
10,100,1,0.004,3.0,0.012,279.1288816223143,837.3866448669429,580,-0.33715122028924016,-1.3800000000000003,0.2637931034482759,164,-0.3406919632032624,-0.3944000000000001,0.2621951219512195
10,100,1,0.008,0.75,0.006,558.2577632446286,418.69332243347145,559,-0.37982342363967414,-1.4734,0.5688729874776386,174,-0.2913862034135094,-0.34639999999999993,0.6149425287356322
10,100,1,0.008,1.0,0.008,558.2577632446286,558.2577632446286,487,-0.35145801933683596,-1.3701999999999996,0.486652977412731,146,-0.20256572535993544,-0.23559999999999995,0.5616438356164384
10,100,1,0.008,1.3333333333333333,0.010666666666666666,558.2577632446286,744.3436843261713,415,-0.29054224398607054,-1.1136666666666666,0.42409638554216866,114,-0.22331227038976065,-0.23773333333333335,0.45614035087719296
10,100,1,0.008,2.0,0.016,558.2577632446286,1116.5155264892571,341,-0.26820506641314334,-1.0225999999999997,0.31671554252199413,82,-0.1047719103635106,-0.10119999999999997,0.3902439024390244
10,100,1,0.008,3.0,0.024,558.2577632446286,1674.7732897338858,279,-0.20349232830231884,-0.7813999999999999,0.24372759856630824,67,-0.10496344222350605,-0.10219999999999996,0.2835820895522388
10,100,1,0.015,0.75,0.01125,1046.7333060836786,785.0499795627588,293,-0.17589735364724626,-0.6680499999999998,0.5836177474402731,78,-0.21313797346713723,-0.2178,0.5641025641025641
10,100,1,0.015,1.0,0.015,1046.7333060836786,1046.7333060836786,244,-0.14033359555261732,-0.5143999999999997,0.5163934426229508,57,-0.15444062168398015,-0.13319999999999993,0.5087719298245614
10,100,1,0.015,1.3333333333333333,0.019999999999999997,1046.7333060836786,1395.6444081115712,195,-0.15576793861569238,-0.527,0.4256410256410256,48,-0.17299550318001142,-0.14479999999999998,0.4166666666666667
10,100,1,0.015,2.0,0.03,1046.7333060836786,2093.466612167357,153,-0.10782756117889424,-0.3527999999999998,0.33986928104575165,37,-0.1407284921702371,-0.11119999999999994,0.32432432432432434
10,100,1,0.015,3.0,0.045,1046.7333060836786,3140.1999182510353,111,-0.162307062854393,-0.45359999999999995,0.22522522522522523,25,0.13608276348795442,0.10000000000000006,0.36
10,100,1,0.025,0.75,0.018750000000000003,1744.5555101394643,1308.4166326045984,141,-0.07129478859552071,-0.21659999999999957,0.5957446808510638,29,-0.15635220295199667,-0.10039999999999992,0.5517241379310345
10,100,1,0.025,1.0,0.025,1744.5555101394643,1744.5555101394643,113,-0.05954555422077899,-0.1687999999999998,0.5221238938053098,24,-0.020302146590376914,-0.012399999999999953,0.5416666666666666
