rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,100,0,3.0,0.025,0.07500000000000001,1394.5395910960067,4183.61877328802,711,-0.042550887851790446,-1.3235999999999994,0.25738396624472576,203,-0.1304636794879076,-1.1028000000000002,0.22167487684729065
10,100,0,0.75,0.04,0.03,2231.2633457536103,1673.4475093152078,1067,-0.07448534077527696,-2.7541999999999978,0.5716963448922212,283,-0.1710843110975503,-1.6957999999999993,0.5229681978798587
10,100,0,1.0,0.04,0.04,2231.2633457536103,2231.2633457536103,819,-0.051542143163125935,-1.6893999999999987,0.5067155067155067,223,-0.06932903254888241,-0.6197999999999999,0.4977578475336323
10,100,0,1.3333333333333333,0.04,0.05333333333333333,2231.2633457536103,2975.0177943381473,642,-0.09181590677703887,-2.709200000000001,0.411214953271028,175,-0.11485476949522713,-0.9216666666666669,0.4
10,100,0,2.0,0.04,0.08,2231.2633457536103,4462.526691507221,440,-0.059025360872939414,-1.464,0.32727272727272727,119,-0.07619226948538241,-0.5093999999999999,0.31932773109243695
10,100,0,3.0,0.04,0.12,2231.2633457536103,6693.790037260831,302,0.033759002948002305,0.7347999999999999,0.2814569536423841,79,-0.12345890725556762,-0.6453999999999999,0.21518987341772153
10,100,0,0.75,0.06,0.045,3346.8950186304155,2510.1712639728116,534,-0.08418629843819743,-2.3484000000000007,0.5543071161048689,146,-0.0693855982864399,-0.5296000000000003,0.5616438356164384
10,100,0,1.0,0.06,0.06,3346.8950186304155,3346.8950186304155,418,-0.05284181217280625,-1.3267999999999998,0.49521531100478466,99,-0.17527993232156813,-1.0373999999999999,0.43434343434343436
10,100,0,1.3333333333333333,0.06,0.07999999999999999,3346.8950186304155,4462.526691507221,303,-0.06340374054453707,-1.3278000000000028,0.4158415841584158,73,0.037052330825937736,0.19019999999999931,0.4657534246575342
10,100,0,2.0,0.06,0.12,3346.8950186304155,6693.790037260831,218,-0.027303623713218834,-0.5068000000000004,0.3348623853211009,49,0.040176654051881845,0.17259999999999986,0.3673469387755102
10,100,0,3.0,0.06,0.18,3346.8950186304155,10040.685055891247,142,-0.04996311029194135,-0.7291999999999996,0.23943661971830985,26,-0.17049636948191013,-0.4276000000000001,0.19230769230769232
10,100,1,0.75,0.008,0.006,446.2526691507221,334.6895018630416,7086,-0.3677412097761368,-18.0336,0.5753598645215918,2465,-0.37331911796056905,-6.375,0.5724137931034483
10,100,1,1.0,0.008,0.008,446.2526691507221,446.2526691507221,6246,-0.321454004066857,-16.063599999999994,0.5017611271213577,2134,-0.31463370068424296,-5.372399999999999,0.5051546391752577
10,100,1,1.3333333333333333,0.008,0.010666666666666666,446.2526691507221,595.0035588676294,5448,-0.27367455625149917,-13.7888,0.43226872246696035,1799,-0.2942801211068091,-4.882733333333333,0.4224569205113952
10,100,1,2.0,0.008,0.016,446.2526691507221,892.5053383014442,4466,-0.23218296492359689,-11.723599999999998,0.3322884012539185,1455,-0.24720030072892957,-4.046999999999999,0.32577319587628867
10,100,1,3.0,0.008,0.024,446.2526691507221,1338.7580074521663,3623,-0.18885006749308056,-9.475799999999998,0.2495169748826939,1194,-0.20818307821707827,-3.4083999999999994,0.24204355108877723
10,100,1,0.75,0.015,0.01125,836.7237546576039,627.5428159932029,3750,-0.1958600988880116,-9.536249999999999,0.5736,1223,-0.19020941169738678,-3.0185499999999994,0.5764513491414555
10,100,1,1.0,0.015,0.015,836.7237546576039,836.7237546576039,3194,-0.16142217686981875,-7.734399999999997,0.5059486537257357,1003,-0.14440843476369125,-2.172799999999999,0.514456630109671
10,100,1,1.3333333333333333,0.015,0.019999999999999997,836.7237546576039,1115.6316728768052,2674,-0.14853966243361852,-6.882399999999999,0.4293193717277487,840,-0.13288853070101786,-1.9389999999999996,0.4369047619047619
10,100,1,2.0,0.015,0.03,836.7237546576039,1673.4475093152078,2055,-0.12684983704617112,-5.522999999999998,0.33138686131386863,642,-0.09858131605192437,-1.3541999999999994,0.3442367601246106
10,100,1,3.0,0.015,0.045,836.7237546576039,2510.1712639728116,1550,-0.15128753743199128,-5.919999999999999,0.2296774193548387,478,-0.04316797137153528,-0.5527999999999996,0.27405857740585776
10,100,1,0.75,0.025,0.018750000000000003,1394.5395910960067,1045.904693322005,1978,-0.13638349586126458,-5.855299999999996,0.5631951466127402,618,-0.11081134669653185,-1.4817999999999985,0.5760517799352751
10,100,1,1.0,0.025,0.025,1394.5395910960067,1394.5395910960067,1625,-0.10827536633037722,-4.399999999999997,0.4978461538461538,502,-0.10389636270470164,-1.3051999999999992,0.5
10,100,1,1.3333333333333333,0.025,0.03333333333333333,1394.5395910960067,1859.386121461342,1323,-0.11490191867463945,-4.373133333333333,0.41647770219198793,389,-0.09897572219400852,-1.1114000000000002,0.4241645244215938
10,100,1,2.0,0.025,0.05,1394.5395910960067,2789.0791821920134,947,-0.13636297858866336,-4.4622,0.3051742344244984,276,-0.04999699010288069,-0.4925999999999998,0.3442028985507246
10,100,1,3.0,0.025,0.07500000000000001,1394.5395910960067,4183.61877328802,693,-0.08182185260557998,-2.4268,0.240981240981241,176,-0.04644278938258311,-0.35759999999999986,0.2556818181818182
10,100,1,0.75,0.04,0.03,2231.2633457536103,1673.4475093152078,991,-0.07760890954366083,-2.6665999999999976,0.5701311806256307,286,-0.13346440766376658,-1.3335999999999995,0.541958041958042
10,100,1,1.0,0.04,0.04,2231.2633457536103,2231.2633457536103,774,-0.1089624389503135,-3.372399999999999,0.4780361757105943,226,-0.003052197124754866,-0.02759999999999982,0.5309734513274337
